,Sex,Age,Bodyweight,Squat,Bench,Deadlift
1164575,F,48.5,82.9,105,62.5,135
3012110,M,22.5,75,230,115,220
439721,M,16.5,65.05,137.5,87.5,175
1225985,F,51,59.15,95,72.5,148
414393,M,19,64.4,242.5,152.5,252.5
611958,M,24.5,112.5,285,190,320
439809,F,29,80.75,117.5,62.5,145
1362872,M,47.5,127.5,320,200,342.5
1368910,M,17,125,217.72,127.01,249.48
1362678,M,40,56,197.5,120,217.5
47576,M,58,107.8,165,105,160
2039954,F,23,73.64,122.5,70,142.5
2502818,M,23.5,87.85,240,175,282.5
1697789,F,15,58.95,117.5,45,137.5
1850855,M,15.5,78.95,190,117.5,205
3003809,F,43.5,58.46,85,80,115
748899,F,30.5,55.3,95,55,140
768642,M,22,95.5,200,130,225
82865,M,40.5,91.75,200,125,242.5
2255474,F,28,108.9,145,77.5,167.5
759196,M,21,90.8,200,120,200
2230599,F,38,81.1,165,82.5,195
717081,M,35.5,107.4,285,200,265
2089563,M,27,120,252.5,155,275
663414,F,18,73.9,130,52.5,155
307947,F,39,64,80,60,130
2576583,M,21.5,90.5,147.5,90,185
1391921,F,22.5,56,135,75,140
3006629,M,39.5,82.65,240,140,282.5
2234863,M,29,99.9,227.5,165,267.5
332176,F,13.5,55.2,32.5,27.5,60
1734172,M,18,80.29,117.93,106.59,156.49
1915480,M,15.5,60.7,200,107.5,190
3012431,M,22.5,52,195,107.5,225
1397165,M,27.5,56,200,120,150
1525635,F,30,65,90,60,137.5
346785,M,22.5,73,150,90,165
2084131,M,32,100,232.5,142.5,240
2346149,M,49,125,185,132.5,210
1796350,M,15.5,57,130,75,145
1816806,M,22.5,88,187.5,172.5,185
2259306,M,35,73.2,210,135,247.5
138041,M,22.5,82.4,190,120,240
592454,M,24.5,93.4,242.5,127.5,250
1659711,F,30,65.15,102.5,70,135
1937612,M,19,139.75,200,205,222.5
763522,M,21.5,95.5,200,160,245
2426834,M,22.5,93.55,250,165,260
366473,M,20.5,103.95,215,130,250
1628116,M,42.5,89.95,270,160,290
1108957,M,27.5,73.9,220,170,250
1669493,F,22.5,66.2,120,62.5,122.5
2069618,M,22,87.2,137.5,82.5,195
459556,M,17.5,80.4,192.5,130,220
1752835,M,21,74.84,204.12,158.76,229.06
984612,M,35,92.6,173,105,209
2253693,M,25,81.4,237.5,185,282.5
2752449,M,16.5,108.14,235.87,145.15,192.78
2251469,F,34,97.6,120,55,127.5
1160217,M,20,73.52,177.5,105,192.5
1950913,M,14.5,65.55,162.5,70,170
1184356,M,38,133.3,222.5,197.5,272.5
2215520,M,51,108.1,230,137.5,252.5
1212202,M,20,107.4,160,117.5,192.5
1052091,M,15,64.7,90,70,115
2213854,M,30,95.3,190,140,260
1601373,M,32,73.7,215,150,240
1861856,F,15.5,50.5,65,32.5,70
517162,M,29.5,97.4,205,147.5,245
1625119,M,15,76.2,130,97.5,150
2961901,F,54,56.42,47.5,35,70
2994230,M,32,99,250,160,250
1112152,F,17.5,43.6,87.5,42.5,100
540099,M,24.5,104.8,267.5,167.5,332.5
493023,M,25.5,81.96,240,137.5,310
2122130,F,28,55.2,105,52.5,117.5
2156873,F,30,89.4,240,115,235
404204,M,14.5,60,82.5,62.5,125
745720,F,26,83.4,135,57.5,137.5
1240341,M,35,81.6,230,122.5,195
1230589,M,33,88.3,192.5,145,247.5
2070130,M,18,58.1,113,80,142.5
554430,M,19.5,88.99,104.33,111.13,165.56
616443,M,41.5,79.2,225,155,210
759312,M,20.5,81.6,306,186.5,240
1714019,M,60,75,199.58,122.47,226.8
536784,M,29,66,170,110,237.5
1131156,F,22.5,71.8,170,90,150
1731800,M,36,81.96,237.5,152.5,265
2267192,F,24,74.39,60,60,142.5
640441,M,30.5,118.42,290,185,265
1846797,M,19.5,59,125,115,150
243826,F,17.5,60.9,85,57.5,130
1120079,F,22.5,51.9,172.5,110,165
1193286,M,24,99.5,320,220,325
36878,F,31,58.42,122.5,75,140
1611036,F,20,58.03,87.5,55,90
2116367,M,39,81.8,410,137.5,272.5
381450,M,29.5,116.25,265,175,282.5
398995,M,20.5,84.85,202.5,102.5,207.5
1700858,F,15,61.23,95.25,61.23,117.93
590949,F,51,40,88,37.5,127.5
62824,M,24.5,82.86,250,160,265
704911,M,17,55.9,105,72.5,110
2030169,F,20,78.2,165.56,97.52,174.63
1108209,M,17,86.5,150,70,200.5
2465799,F,21.5,51.9,182.5,102.5,190.5
1971426,F,16.5,100,145,70,125
470632,F,36.5,98.9,150,105,185
1934518,M,20.5,104.25,290,215,290
62641,M,39.5,98.2,282.5,185,290
406375,M,21.5,165,175,125,207.5
1899531,F,16.5,50.25,125,55,125
3017292,F,19.5,47.5,95,40,110
684057,M,32.5,66.5,175,120,182.5
1902384,M,27.5,73.7,190,127.5,207.5
471513,F,23.5,70.7,152.5,75,165
2572775,F,25.5,51.6,105,50,135
2012987,M,21.5,80.85,190,112.5,225
1755288,M,19,100,174.63,86.18,181.44
2429503,F,30.5,59.3,82.5,62.5,112.5
2315787,F,31,77.47,145,80,160
1164968,M,24,78.74,180,110,200
1767690,M,21,127.6,302.5,195,307.5
1256914,F,30.5,44,87.5,42.5,110
1178422,M,41,96.9,285,147.5,282.5
2195690,M,20,81.2,190,125,225
2752158,M,13.5,64.77,127.01,88.45,145.15
2484850,M,50.5,66.91,205,110,217.5
472840,M,24.5,84.6,195,145,227.5
219146,F,25.5,53.6,72.5,45,90
416908,M,24.5,87.4,215,155,240
1220519,M,67,90.3,200,125,200
1712055,M,64,89.5,125,100,147.5
2188101,M,54,82.1,155,105,195
1704712,M,36,83.46,202.5,175,240
821404,F,15,82.19,113.4,61.23,115.67
1882575,M,28.5,103.5,310,250,310
2264306,M,47,88.31,167.5,110,195
502367,M,44.5,92.14,212.5,162.5,232.5
1648063,F,18.5,62,115,75,117.5
2248305,M,35,89.6,180,172.5,225
1909689,M,28,82.8,225,160,230
1465186,M,18,52,102.5,72.5,152
805085,F,15.5,88.9,120.2,65.77,124.74
2440590,M,35.5,58.5,180,125,226
1992233,M,33,67.3,205,127.5,205
1125253,M,15.5,55.35,120,62.5,120
2158981,F,17,99.3,120,70,117.5
73078,F,55.5,71.45,65,45,120
1084045,M,41,93.3,165,140,170
1100671,M,20,92.8,175,135,210
481925,M,25.5,104.4,235.9,154.2,244.9
328365,M,19.5,59.55,132.5,97.5,165
1643262,M,15.5,82.6,160,85,170
303174,M,34,88.5,220,140,255
1428342,F,36.5,44,130,62.5,140
2492462,M,30.5,74.3,255,145,275
1770875,F,42,80.3,137.5,85,175
2569156,M,23,82.5,175,132.5,220
2437313,F,33.5,92.9,125,70,142.5
1877539,M,17.5,47.7,110,70,122.5
1812054,M,14.5,45.7,90,50,100
1596703,M,21.5,67.4,250,132.5,250
1117463,M,14.5,71.6,120,80,140
654303,M,36,73.62,210,130,250
1661499,M,27,90.65,327.5,245,272.5
2243785,M,31,75.8,150,132.5,182.5
1602817,M,19,72.94,110,80,130
1513721,M,44,125,365.14,190.51,292.57
1096473,M,23,87.2,160,122.5,190
357984,F,53.5,62,157.5,107.5,177.5
423817,M,20,72.3,232.5,122.5,237.5
1945715,M,21.5,89,292.5,207.5,285
390140,M,29.5,76.9,177.5,117.5,220
1075745,M,23,103.6,390,255,320
768132,F,44,50.1,87.5,52.5,127.5
1596704,M,26,67.5,240,152.5,230
1741772,M,56,104.3,205,160,227.5
1135530,M,16.5,81.95,182.5,97.5,210
617163,M,25,81.9,145,120,215
159914,M,41,98.9,235,170,280
2199931,M,33,74.5,157.5,125,217.5
1765581,M,23,98.3,182.5,142.5,242.5
1236095,M,35,85.1,200,120,235
1099596,M,22,81.55,220,155,245
1943632,M,21.5,64.25,150,117.5,157.5
423959,M,22.5,73,212.5,155,242.5
616293,M,33,92.17,192.5,125,215
376879,M,20.5,82.5,124.7,97.5,161
1977039,F,17.5,50.5,117.5,55,100
2261406,M,26,89,260,132.5,302.5
2469321,M,64,72.54,195,130,210
1127268,M,17.5,67.1,175,95,175
349371,F,22.5,70.65,92.5,67.5,117.5
315759,M,24,135.62,419.57,278.96,324.32
1108722,M,29.5,102.7,310,200,310
1832761,F,22.5,59.2,82.5,40,100
2178321,F,37,74.8,112.5,60,132.5
2002295,M,50,66.8,167.5,120,195
1185431,F,19,71.05,107.5,67.5,120
160470,M,27.5,73.4,172.5,125,212.5
3006224,M,71.5,55.24,140,100,145
1900563,M,22.5,55.8,215,135,220
492914,M,29.5,105.72,365,222.5,370
641545,M,28.5,89.14,260,165,280
745566,F,21,62.9,115,65,127.5
1233479,M,51,99.34,285,167.5,250
1311771,M,17.5,110,272.5,205,295
3025632,M,17.5,74.3,230,155,240
1792647,M,17.5,93.2,150,95,155
758969,M,26,104.5,280.5,205,270
313438,F,28,59,90,42.5,115
2592177,M,16.5,73.12,151.95,115.67,176.9
1901853,F,26.5,52,72.5,50,85
1123318,M,19.5,88.7,185,107.5,225
583673,F,25.5,74.8,202.5,142.5,185
117252,F,20.5,61.7,120,62.5,152.5
346107,F,47.5,62.5,185,97.5,175
61510,M,30.5,175.47,335,232.5,322.5
342608,F,21.5,77.95,110,62.5,137.5
685175,M,35.5,115.4,285,210,285
161475,M,22,80.4,210,147.5,242.5
2077744,M,15,88.36,192.5,117.5,202.5
1103570,F,20.5,67.8,110,62.5,140
2424463,M,25.5,88.5,165,125,230
2261831,M,35,124.85,252.5,192.5,287.5
427020,M,27.5,82.6,202.5,127.5,250
499733,M,17,66.1,177.5,90,192.5
1818555,M,21.5,111.86,235,190,260
2065466,M,36,93.2,287.5,175,315
39292,M,52.5,80.92,170,132.5,187.5
343699,M,21.5,58.7,210,137.5,267.5
1204757,M,33,81.8,297.5,175,282.5
1909587,M,19.5,103.95,300,190,260
537434,M,35.5,97.65,230,160,245
388530,M,24.5,64.55,217.5,130,250
62926,M,17.5,69.3,137.5,80,190
768671,M,25,85.2,235,142.5,235
752300,M,21,100,317.5,205,320
1343951,M,17,67.5,122.47,95.25,151.95
2272571,M,20.5,78.8,160,115,220
1755622,M,22,88.36,172.37,117.93,206.38
2152390,F,40,91.9,75,70,112.5
1027747,M,17,72.4,162.5,87.5,190
1776602,M,33,66.85,135,87.5,185
226926,F,45.5,82.7,115,45,150
2646156,M,16.5,73.57,176.9,124.74,183.7
668675,M,26,89.5,205,135,225
1407252,M,16,82.5,244.94,142.88,215.46
1854396,M,22.5,68.25,180,137.5,227.5
2476071,M,31.5,123.5,370,272.5,335
117333,M,32.5,81.7,230,140,235
2477268,M,39.5,96.65,230,152.5,250
2238735,M,56,97.75,142.5,115,165
940945,M,40,96.9,120,105,170
391411,M,20.5,94.2,140,90,92.5
1115515,F,26.5,64.95,180,82.5,180
449711,M,21.5,82.1,232.5,150,252.5
1118148,F,20,45.6,65,35,60
509714,M,23.5,88.9,222.5,145,250
556872,F,36,75.66,168.74,86.64,154.67
2343348,M,34,81.3,220,117.5,220
142104,F,24.5,51.5,75,40,102.5
1977082,F,18.5,57.12,150,97.5,135
1148230,M,21.5,73.6,181,115,195
1961042,M,15.5,66,172.5,95,160
1700500,M,16,99.3,197.5,107.5,207.5
2133512,M,21,73.5,190,120,215
96739,F,17,73.7,87.5,43.5,142.5
1237057,M,29,103.4,190,125,235
2131268,M,33,96.7,215,147.5,237.5
2114464,M,22,100,187.5,152.5,220
2336334,M,27,74.1,180,120,235
139652,M,14.5,65.9,145,90,165
2174927,M,24,80.95,232.5,165,235
350501,F,26.5,72,117.5,77.5,152.5
1622444,M,19,82.3,140,105,185
1088481,F,44,55.7,115,57.5,120
641880,M,36.5,76.15,195,140,260
581388,F,20.5,74.3,122.5,67.5,145
3007165,F,49.5,61.4,112.5,62.5,120
1873398,M,19.5,66.9,240,157.5,262.5
136437,M,31.5,99,250,197.5,240
404899,M,21.5,97.95,180,145,242.5
2150360,F,39,69.2,152.5,87.5,175
2837779,M,17.5,81.19,185.97,120.2,208.65
466745,M,24.5,91.6,235,192.5,285
401450,M,18.5,67.05,162.5,95,165
1727562,M,15,52.92,117.5,65,140
316905,M,23,124.92,396.89,265.35,322.05
2268625,F,23,100,142.5,77.5,182.5
475615,F,24.5,84,127.5,57.5,147.5
1535028,M,48.5,66.68,160,100,182.5
591568,M,17.5,91.6,175,102.5,227.5
1179655,M,25,79.9,247.5,120,227.5
1503313,M,39,90,263.08,185.97,265.35
1054289,M,35,98.8,180,135,190
1473092,F,18.5,52,90.72,45.36,113.4
2082393,M,24,88.1,150,112.5,172.5
1089622,M,22,89.8,180,120,215
1984907,M,24,106.8,212.5,132.5,200
462910,F,37.5,64.88,92.5,60,140
2264761,M,26,94.9,230,120,212.5
708400,M,20.5,58.9,155,80,170
456671,M,21.5,82.5,190.5,136.1,204.1
2011520,M,17.5,86.5,145,100,190
2304104,M,27.5,108.86,327.5,197.5,307.5
534483,M,28.5,95.9,172.5,112.5,200
2120443,M,24,101.6,282.5,220,282.5
644658,F,24.5,60.4,120,70,157.5
2088882,M,40,110,295,220,275
2520460,M,18,87.5,165,110,175
2053312,M,29,63.7,175,130.5,212.5
1099560,F,20.5,68,87.5,47.5,127.5
1268161,M,27,140,355,245,320
958356,M,18,74.7,165,112.5,180
296723,M,26.5,73.61,192.5,130,255
465906,F,16.5,58.95,107.5,70,117.5
1133022,M,16.5,80.65,197.5,120,190
1870785,M,42.5,89.35,135,100,155
324690,M,25,97.34,206.38,158.76,226.8
1676356,M,18.5,72.1,160,115,205
2204953,M,27,96.2,232.5,145,237.5
2346775,M,15,66.68,122.5,65,150
1904981,M,20.5,82.6,167.5,137.5,190
